ID,VIN,DEVICE_ID,DATA_SOURCE,MANUFACTURER,MAKE,MODEL,MODEL_YEAR,TRIM,FLEET_UNIT_ID,ENROLLMENT_STATUS,LATEST_ENROLLMENT_TIMESTAMP,ORG_ID,ORG_NAME,LICENSE_PLATE,LICENSE_PLATE_STATE,CUSTOM_DATA
9a564694-6ef2-49d0-b095-e5f077acbe28,5YJYGAEE8MF225329,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,RVL 0050,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
6b3fe8ca-7e08-496f-bccb-334222d7560e,5YJYGAEE5MF184089,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,326C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
4137b45f-2f84-4122-bec6-00cd7e6d30a6,5YJYGAEE5MF184044,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,328C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
feb3c19d-2f4c-4433-899c-000a7ec40b42,5YJYGAEE9MF179980,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,329C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
6f6ec3cf-6f4d-4013-a72e-edac45e6eeaa,5YJYGAEE6MF180357,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,330C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
2cac3723-8ebe-4f0a-acd0-e4c19a6b27af,5YJYGAEE5MF180169,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,331C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
fbbf7df6-373d-4b3d-9f39-338306433d6d,5YJYGAEE2MF187936,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,332C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
edd6037b-2b30-4bc0-886b-a23e625558e2,5YJYGAEE6MF183744,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,333C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
c296c734-f9e0-4257-a249-417ea191306c,5YJYGAEE6MF190516,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,334C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
1ad8c0d6-6836-4f3a-8283-72f00aef3f9a,5YJYGAEE7MF186605,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,335C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
